section,model,predictors,eligible_for_selection,n_observations,n_estimated_parameters,r_squared,adjusted_r_squared,in_sample_rmse,loocv_rmse,selected
yield_model,trend_only,trend_index,True,30,2,0.7554806195955212,0.7467477845810755,11.378752150142674,11.934294316547486,False
yield_model,trend_plus_precip,trend_index + may_july_precip_inches,True,30,3,0.7649434028476322,0.7475318030585678,11.15640359193517,12.627938223174056,False
yield_model,trend_plus_temperature,trend_index + may_july_avg_temp_f,True,30,3,0.7857282645109948,0.7698562841044018,10.651737079847369,12.623243396991628,False
yield_model,trend_plus_pdsi,trend_index + july_pdsi,True,30,3,0.7945555437810881,0.7793374359130205,10.43002159900506,11.920131115919427,True
yield_model,trend_plus_precip_temperature,trend_index + may_july_precip_inches + may_july_avg_temp_f,False,30,4,0.7874718507551397,0.7629493719961173,10.608310543692719,12.985768164655116,False
yield_model,trend_plus_precip_pdsi,trend_index + may_july_precip_inches + july_pdsi,False,30,4,0.8100408812328773,0.7881225213751324,10.029241003672917,11.75548009590481,False
yield_model,trend_plus_temperature_pdsi,trend_index + may_july_avg_temp_f + july_pdsi,False,30,4,0.8058108479261326,0.7834044073022248,10.140292374783018,12.486852570240083,False
yield_model,trend_plus_all_weather,trend_index + may_july_precip_inches + may_july_avg_temp_f + july_pdsi,False,30,5,0.8219004942156938,0.7934045732902048,9.71112069148188,12.442014611932533,False
price_model,july_futures_change,july_weather_yield_signal,True,30,2,0.021509755569878886,-0.013436324588339765,0.6056522848044268,0.6892538374378292,True
price_model,harvest_futures_change,final_yield_surprise_vs_trend,True,30,2,0.14432272748043362,0.11376282489044909,0.7206441444991827,0.8043588324865083,True
